title,score,score_phrase,platform,genre,release_year,release_month,release_day
Checkered Flag,10.0,Masterpiece,Lynx,Racing,1999,7,6
Chrono Trigger,10.0,Masterpiece,Wii,"Action, RPG",2011,5,25
Dragon Warrior III,10.0,Masterpiece,Game Boy Color,RPG,2001,7,20
Grand Theft Auto IV,10.0,Masterpiece,Xbox 360,"Action, Adventure",2008,4,25
Grand Theft Auto IV,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2008,4,25
Grand Theft Auto IV (Special Edition),10.0,Masterpiece,Xbox 360,Action,2008,4,29
Grand Theft Auto IV (Special Edition),10.0,Masterpiece,PlayStation 3,Action,2008,4,29
Grand Theft Auto V,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2013,9,16
Grand Theft Auto V,10.0,Masterpiece,Xbox 360,"Action, Adventure",2013,9,16
Grand Theft Auto V,10.0,Masterpiece,PlayStation 4,"Action, Adventure",2014,11,17
Grand Theft Auto V,10.0,Masterpiece,Xbox One,"Action, Adventure",2014,11,17
Grand Theft Auto V,10.0,Masterpiece,PC,"Action, Adventure",2015,4,14
Infinity Blade II,10.0,Masterpiece,iPhone,"Fighting, Action",2011,11,30
Inside,10.0,Masterpiece,PlayStation 4,Adventure,2016,6,28
Inside,10.0,Masterpiece,Xbox One,Adventure,2016,6,28
Inside,10.0,Masterpiece,PC,Adventure,2016,6,28
Joust,10.0,Masterpiece,Lynx,Action,1999,7,6
Magical Tetris Challenge,10.0,Masterpiece,Game Boy Color,"Puzzle, Adventure",2000,2,28
Mario Golf [Game Boy Color],10.0,Masterpiece,Game Boy Color,"Sports, Action",1999,10,5
Metal Gear Solid 4: Guns of the Patriots,10.0,Masterpiece,PlayStation 3,Action,2008,6,12
Metal Gear Solid 4: Guns of the Patriots (Limited Edition),10.0,Masterpiece,PlayStation 3,Action,2008,6,13
Metal Gear Solid V: The Phantom Pain,10.0,Masterpiece,Xbox One,Action,2015,8,24
Metal Gear Solid V: The Phantom Pain,10.0,Masterpiece,PlayStation 4,Action,2015,8,24
Metal Gear Solid V: The Phantom Pain,10.0,Masterpiece,PC,Action,2015,8,24
Metal Gear Solid [2000],10.0,Masterpiece,Game Boy Color,"Action, Adventure",2000,5,5
Pac-Man Championship Edition DX,10.0,Masterpiece,PlayStation 3,Action,2010,11,30
Pac-Man Championship Edition DX,10.0,Masterpiece,Xbox 360,Action,2010,11,16
Pokemon Blue Version,10.0,Masterpiece,Game Boy,RPG,1999,6,23
Pokemon Gold Version,10.0,Masterpiece,Game Boy Color,RPG,2000,10,16
Pokemon Red Version,10.0,Masterpiece,Game Boy,RPG,1999,6,23
Pokemon Silver Version,10.0,Masterpiece,Game Boy Color,RPG,2000,10,16
